City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Haines Junction,CA,60.7522,-137.5108,35.55,60,100,1.14,overcast clouds
Mataura,NZ,-46.1927,168.8643,43.48,94,17,2.73,few clouds
Punta Arenas,CL,-53.15,-70.9167,50.11,43,40,37.98,scattered clouds
Ushuaia,AR,-54.8,-68.3,49.66,43,75,21.85,broken clouds
Castro,BR,-24.7911,-50.0119,83.62,34,97,6.02,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,90,20.71,snow
Airai,TL,-8.9266,125.4092,57.72,77,12,2.77,few clouds
Vernon,CA,50.2581,-119.2691,62.62,54,41,1.01,scattered clouds
Hobart,AU,-42.8794,147.3294,48.06,91,90,5.75,overcast clouds
Tena,EC,-0.9833,-77.8167,90.36,47,63,6.76,light rain
Mahebourg,MU,-20.4081,57.7,72.25,68,75,17.27,light rain
Nikolskoye,RU,59.7035,30.7861,49.87,74,100,3.44,overcast clouds
Lenger,KZ,42.183,69.8839,56.64,39,100,2.55,overcast clouds
Upernavik,GL,72.7868,-56.1549,26.98,53,30,5.7,scattered clouds
Corn Island,NI,12.1694,-83.0418,83.14,74,100,7.96,light rain
Altamira,BR,-3.2033,-52.2064,86.09,66,40,3.44,light rain
Cape Town,ZA,-33.9258,18.4232,61.27,78,20,18.41,few clouds
Lumeje,AO,-11.55,20.7833,76.93,32,25,1.83,scattered clouds
Hilo,US,19.7297,-155.09,79.29,78,75,0.0,light rain
Taltal,CL,-25.4,-70.4833,66.18,64,24,6.06,few clouds
Chkalovskoye,RU,44.8392,133.0436,56.66,90,100,5.01,overcast clouds
Giyani,ZA,-23.3025,30.7187,83.46,25,53,4.63,broken clouds
Vestmannaeyjar,IS,63.4427,-20.2734,38.52,72,100,34.96,overcast clouds
Vaini,TO,-21.2,-175.2,71.76,94,20,5.75,few clouds
Huescar,ES,37.811,-2.5412,68.94,36,3,1.95,clear sky
Hay River,CA,60.8156,-115.7999,51.78,82,75,5.75,broken clouds
Millinocket,US,45.6573,-68.7098,64.51,52,1,9.22,clear sky
Staryy Nadym,RU,65.6118,72.6842,31.8,80,0,4.88,clear sky
Provideniya,RU,64.3833,-173.3,35.71,75,90,13.42,light rain
Butaritari,KI,3.0707,172.7902,83.12,77,10,23.94,clear sky
Alta Floresta,BR,-9.8756,-56.0861,91.22,52,0,6.91,clear sky
Marsh Harbour,BS,26.5412,-77.0636,80.4,60,77,10.8,broken clouds
Dimitrovgrad,RU,54.2139,49.6184,44.65,68,100,7.11,overcast clouds
Ahipara,NZ,-35.1667,173.1667,51.21,74,35,5.95,scattered clouds
Tasiilaq,GL,65.6145,-37.6368,35.76,56,100,7.65,overcast clouds
Hermanus,ZA,-34.4187,19.2345,59.9,83,62,7.38,broken clouds
Kavaratti,IN,10.5669,72.642,81.43,80,99,18.21,overcast clouds
Atuona,PF,-9.8,-139.0333,77.61,76,21,19.8,light rain
Talnakh,RU,69.4865,88.3972,32.45,76,100,2.28,overcast clouds
Grand Gaube,MU,-20.0064,57.6608,72.37,66,91,7.0,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,11.5,broken clouds
Husavik,IS,66.0449,-17.3389,37.31,83,81,11.23,broken clouds
Okato,NZ,-39.2,173.8833,49.42,85,53,13.38,broken clouds
Sorong,ID,-0.8833,131.25,79.59,80,100,2.64,overcast clouds
New Norfolk,AU,-42.7826,147.0587,47.71,78,100,0.94,overcast clouds
Kapaa,US,22.0752,-159.319,80.58,71,75,3.0,light rain
Rikitea,PF,-23.1203,-134.9692,73.06,70,54,20.24,broken clouds
Barrow,US,71.2906,-156.7887,30.22,86,90,5.75,overcast clouds
Pisco,PE,-13.7,-76.2167,66.02,82,75,10.36,broken clouds
San Vicente,AR,-26.6167,-54.1333,72.3,69,95,9.78,moderate rain
Aykhal,RU,66.0,111.5,25.02,80,100,8.28,overcast clouds
Victoria,HK,22.2855,114.1577,85.21,83,17,1.99,light rain
Melegnano,IT,45.3588,9.324,71.08,83,0,1.14,clear sky
Busselton,AU,-33.65,115.3333,57.04,81,91,11.16,overcast clouds
Rankovce,MK,42.1696,22.1162,61.66,90,36,3.74,scattered clouds
Orange,US,33.7,-117.7675,76.77,73,75,1.01,broken clouds
Tabou,CI,4.423,-7.3528,77.61,84,100,6.06,overcast clouds
Tiarei,PF,-17.5333,-149.3333,80.62,79,99,18.12,light rain
Paita,PE,-5.0892,-81.1144,77.56,70,25,13.24,scattered clouds
Saldanha,ZA,-33.0117,17.9442,57.25,84,0,21.65,clear sky
Cidreira,BR,-30.1811,-50.2056,69.57,84,100,13.82,light rain
Chokurdakh,RU,70.6333,147.9167,22.87,94,97,8.88,overcast clouds
Les Cayes,HT,18.2,-73.75,87.13,59,39,10.54,scattered clouds
Labuhan,ID,-6.8844,112.2051,77.81,79,25,8.12,scattered clouds
Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,4.61,overcast clouds
Port Blair,IN,11.6667,92.75,79.11,83,100,3.58,overcast clouds
La Ronge,CA,55.1001,-105.2842,62.85,59,40,6.91,smoke
Mago,RU,53.2514,140.1822,49.6,75,99,5.01,overcast clouds
Kavieng,PG,-2.5744,150.7967,81.39,78,87,10.2,overcast clouds
Bluff,NZ,-46.6,168.3333,43.81,83,89,14.56,overcast clouds
Luba,GQ,3.4568,8.5547,76.89,82,54,5.06,broken clouds
Aswan,EG,24.0934,32.907,85.3,17,0,9.22,clear sky
East London,ZA,-33.0153,27.9116,63.46,74,100,9.06,overcast clouds
Saskylakh,RU,71.9167,114.0833,21.99,92,100,4.59,overcast clouds
Meulaboh,ID,4.1363,96.1285,75.36,91,100,5.86,overcast clouds
Rawson,AR,-43.3002,-65.1023,66.49,21,48,8.39,scattered clouds
Kaseda,JP,31.4167,130.3167,76.05,81,0,12.46,clear sky
Alofi,NU,-19.0595,-169.9187,76.89,94,75,11.5,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,78.76,84,88,10.11,overcast clouds
Babai,IN,22.7,77.9333,74.35,91,77,5.26,broken clouds
Linqiong,CN,30.4159,103.4609,71.42,82,0,2.04,clear sky
Torbay,CA,47.6666,-52.7314,66.67,64,75,20.71,broken clouds
Nanortalik,GL,60.1432,-45.2371,40.15,53,1,8.16,clear sky
Cherskiy,RU,68.75,161.3,6.85,91,37,3.67,scattered clouds
Mikhaylovskoye,RU,51.8239,79.7172,44.46,77,100,12.24,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,57.27,86,86,4.56,overcast clouds
Ancud,CL,-41.8697,-73.8203,56.73,58,84,5.68,broken clouds
Pevek,RU,69.7008,170.3133,19.51,85,98,5.21,overcast clouds
Grand-Santi,GF,4.25,-54.3833,95.95,30,85,4.76,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,59.0,69,0,8.99,clear sky
Mugur-Aksy,RU,50.35,90.5,26.37,93,84,4.0,broken clouds
Komsomolskiy,UZ,40.4272,71.7189,65.12,52,76,9.22,broken clouds
Bambous Virieux,MU,-20.3428,57.7575,72.21,68,75,17.27,light rain
Kirksville,US,40.1948,-92.5833,90.05,38,1,1.99,clear sky
Kingston,JM,17.997,-76.7936,88.75,66,20,5.75,light rain
Nago,JP,26.5881,127.9761,82.56,85,27,14.94,scattered clouds
Albany,US,42.6001,-73.9662,67.55,77,100,5.61,overcast clouds
Qaanaaq,GL,77.484,-69.3632,29.03,69,100,2.53,overcast clouds
Foam Lake,CA,51.65,-103.5343,87.82,16,1,16.55,clear sky
Yellowknife,CA,62.456,-114.3525,48.42,100,90,5.99,light rain
Catuday,PH,16.2923,119.8062,79.92,79,38,2.62,scattered clouds
Pontal Do Parana,BR,-25.6533,-48.5128,92.86,74,27,6.6,scattered clouds
Praia,CV,14.9215,-23.5087,84.74,65,0,11.5,clear sky
Hithadhoo,MV,-0.6,73.0833,82.58,74,21,9.62,few clouds
Rio Grande,BR,-32.035,-52.0986,66.31,95,100,10.0,overcast clouds
Melito Di Porto Salvo,IT,37.9222,15.7714,77.32,73,40,8.05,scattered clouds
Cabo San Lucas,MX,22.8909,-109.9124,94.51,63,0,5.95,clear sky
Cabedelo,BR,-6.9811,-34.8339,81.27,73,11,19.35,few clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,78,0,20.71,clear sky
Avera,US,33.194,-82.5271,87.71,40,92,5.68,overcast clouds
Leningradskiy,RU,69.3833,178.4167,23.63,96,100,9.93,light snow
Ponta Do Sol,PT,32.6667,-17.1,75.83,76,70,3.6,broken clouds
Katsuura,JP,35.1333,140.3,68.18,84,11,9.08,few clouds
Pemba,MZ,-12.974,40.5178,77.41,76,5,11.27,clear sky
Constitucion,CL,-35.3333,-72.4167,60.93,50,0,9.26,clear sky
Kaitangata,NZ,-46.2817,169.8464,40.95,89,15,7.29,few clouds
Fernie,CA,49.5,-115.0687,55.62,94,100,6.4,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,71.15,76,15,14.67,few clouds
Paraiso,CR,9.8383,-83.8656,75.11,89,100,2.73,overcast clouds
San Patricio,US,28.017,-97.5169,95.16,43,71,12.86,broken clouds
Carnarvon,AU,-24.8667,113.6333,59.07,88,35,6.91,scattered clouds
Bethel,US,41.3712,-73.414,70.16,85,75,5.75,broken clouds
Yumen,CN,40.2833,97.2,60.28,21,0,7.63,clear sky
Port Moresby,PG,-9.4431,147.1797,74.62,100,75,3.44,fog
Puerto Escondido,MX,15.85,-97.0667,85.87,67,21,7.61,few clouds
Ransang,PH,8.9603,117.5828,79.11,83,54,1.32,broken clouds
Walvis Bay,NA,-22.9575,14.5053,57.09,76,4,5.75,clear sky
Xianyang,CN,34.3378,108.7026,60.04,100,0,2.24,mist
Port Alfred,ZA,-33.5906,26.891,61.3,75,50,7.7,scattered clouds
Bereda,ES,43.2686,-7.5406,57.92,92,100,1.79,overcast clouds
Keetmanshoop,NA,-26.5833,18.1333,70.72,35,100,16.91,overcast clouds
Tual,ID,-5.6667,132.75,80.83,83,21,11.97,few clouds
Guerrero Negro,MX,27.9769,-114.0611,74.05,61,49,15.68,scattered clouds
Yako,BF,12.9667,-2.2667,90.45,25,95,2.28,overcast clouds
Maksatikha,RU,57.797,35.8825,40.23,85,63,3.47,broken clouds
Carman,CA,49.4992,-98.0016,84.7,24,14,7.65,few clouds
Mpika,ZM,-11.8343,31.4529,74.01,37,88,3.36,overcast clouds
Saint-Francois,FR,46.4154,3.9054,54.84,89,0,0.0,clear sky
Iqaluit,CA,63.7506,-68.5145,33.53,69,40,3.0,scattered clouds
Cap Malheureux,MU,-19.9842,57.6142,72.46,66,89,7.0,overcast clouds
Havelock,US,34.8791,-76.9013,84.97,66,3,7.0,clear sky
Lorut,AM,40.9372,44.7714,48.0,92,96,2.37,overcast clouds
Teguldet,RU,57.3064,88.1667,32.76,96,63,4.32,broken clouds
Nicoya,CR,10.1483,-85.452,90.95,69,92,3.36,light rain
Kodiak,US,57.79,-152.4072,47.71,71,90,5.75,overcast clouds
Jamestown,US,42.097,-79.2353,69.53,55,1,5.99,clear sky
Port-Cartier,CA,50.0334,-66.8654,59.22,58,89,8.66,overcast clouds
Atasu,KZ,48.6814,71.6433,47.75,83,73,10.13,broken clouds
Davenport,US,41.5236,-90.5776,83.93,49,1,9.22,clear sky
Loding,NO,67.3,14.75,55.83,61,90,7.0,overcast clouds
Buraydah,SA,26.326,43.975,84.65,9,5,7.63,clear sky
Chuy,UY,-33.6971,-53.4616,59.56,87,100,13.31,overcast clouds
Santa Ana,US,33.7456,-117.8678,75.78,67,75,5.01,broken clouds
Tabuk,PH,17.4189,121.4443,73.58,92,16,2.44,few clouds
Hervey Bay,AU,-25.2986,152.8535,66.04,68,100,12.3,overcast clouds
Athabasca,CA,54.7169,-113.2854,60.62,39,100,10.11,overcast clouds
Atocha,BO,-20.9333,-66.2333,66.79,17,2,7.9,clear sky
Margate,GB,51.3813,1.3862,60.69,80,100,5.01,moderate rain
Beliu,RO,46.4833,21.9833,63.18,88,100,5.23,overcast clouds
Samarai,PG,-10.6167,150.6667,78.3,88,100,13.6,overcast clouds
Wladyslawowo,PL,54.7909,18.4009,58.93,67,100,15.5,overcast clouds
Lorengau,PG,-2.0226,147.2712,81.27,78,64,6.67,broken clouds
Touros,BR,-5.1989,-35.4608,83.3,71,8,19.28,clear sky
Taungdwingyi,MM,20.0167,95.55,74.43,93,100,1.92,overcast clouds
Marawi,PH,7.9986,124.2928,67.64,92,100,3.02,overcast clouds
Buchanan,LR,5.8808,-10.0467,73.36,84,94,5.75,overcast clouds
Rocha,UY,-34.4833,-54.3333,58.6,87,100,10.11,overcast clouds
Vostok,RU,46.4856,135.8833,49.64,96,3,4.45,clear sky
Berdigestyakh,RU,62.0989,126.6992,30.43,81,6,4.99,clear sky
Mercedes,AR,-34.6515,-59.4307,64.51,56,36,10.47,scattered clouds
Thompson,CA,55.7435,-97.8558,64.56,48,20,8.05,few clouds
Isangel,VU,-19.55,169.2667,69.91,73,94,5.75,overcast clouds
Anadyr,RU,64.75,177.4833,21.7,86,0,8.95,clear sky
Vasudevanallur,IN,9.2333,77.4167,77.13,74,90,8.48,overcast clouds
Adre,TD,13.4667,22.2,81.0,49,4,0.58,clear sky
Kosmynino,RU,57.5818,40.7643,35.08,82,8,5.64,clear sky
Kalmunai,LK,7.4167,81.8167,82.15,63,100,7.09,overcast clouds
Clyde River,CA,70.4692,-68.5914,34.03,80,90,5.75,overcast clouds
Hailar,CN,49.2,119.7,34.66,61,0,12.59,clear sky
Fairbanks,US,64.8378,-147.7164,28.31,82,1,0.0,clear sky
Bengkulu,ID,-3.8004,102.2655,75.61,91,92,3.31,moderate rain
Madang,PG,-5.2246,145.7966,76.64,90,82,1.77,broken clouds
Sioux Lookout,CA,50.1001,-91.917,70.18,52,20,4.61,few clouds
Leshan,CN,29.5623,103.7639,67.69,91,0,2.48,light rain
Khuzdar,PK,27.7384,66.6434,78.06,54,5,3.33,clear sky
Boda,CF,4.3189,17.4695,71.11,95,84,1.39,light rain
San Policarpo,PH,12.1791,125.5072,78.04,89,100,5.32,overcast clouds
Porto Novo,BJ,6.4965,2.6036,80.42,84,31,6.51,scattered clouds
Skerries,IE,53.5828,-6.1083,51.01,66,38,12.53,scattered clouds
Zambezi,ZM,-13.5432,23.1047,75.96,27,1,2.08,clear sky
Ipixuna,BR,-1.7625,-48.8043,85.95,70,89,4.59,overcast clouds
Birjand,IR,32.8663,59.2211,64.87,15,0,6.91,clear sky
Luena,AO,-11.7833,19.9167,68.72,42,27,1.5,scattered clouds
Ostrovnoy,RU,68.0531,39.5131,48.65,85,100,11.74,overcast clouds
Urumqi,CN,43.801,87.6005,54.55,38,0,2.24,clear sky
Jiayuguan,CN,39.8167,98.3,62.49,20,0,4.81,clear sky
Georgetown,MY,5.4112,100.3354,78.73,94,40,1.99,scattered clouds
Bandarbeyla,SO,9.4942,50.8122,81.46,72,60,23.55,broken clouds
Manaus,BR,-3.1019,-60.025,90.1,66,40,5.75,scattered clouds
Pozo Colorado,PY,-23.4923,-58.7972,104.23,18,66,8.55,broken clouds
Souillac,MU,-20.5167,57.5167,72.36,68,75,17.27,broken clouds
Beloha,MG,-25.1667,45.05,73.04,66,76,7.76,broken clouds
Suining,CN,30.508,105.5733,69.66,87,0,3.36,light rain
College,US,64.8569,-147.8028,28.29,81,40,0.0,scattered clouds
Zhanaozen,KZ,43.3,52.8,59.2,52,92,9.37,overcast clouds
Puyang,CN,29.4603,119.8861,73.54,83,0,1.25,clear sky
Flin Flon,CA,54.7682,-101.865,69.64,49,20,8.05,few clouds
Luoyang,CN,34.6836,112.4536,62.26,93,0,4.65,light rain
Macia,MZ,-25.0269,33.0989,70.39,84,0,10.96,clear sky
Padang,ID,-0.9492,100.3543,77.38,91,100,2.42,overcast clouds
Nabire,ID,-3.3667,135.4833,77.49,88,100,2.95,overcast clouds
Birin,NP,26.8865,88.0718,62.17,92,98,2.28,overcast clouds
Dingle,PH,10.9995,122.6711,75.7,90,100,2.84,overcast clouds
Iquitos,PE,-3.7481,-73.2472,89.64,55,40,3.44,scattered clouds
Esna,EG,25.2934,32.554,82.42,27,0,14.29,clear sky
Shestakovo,RU,56.4915,103.96,34.48,99,100,3.27,light rain
Faanui,PF,-16.4833,-151.75,79.34,74,21,18.43,few clouds
Broni,IT,45.0655,9.2623,72.61,76,100,2.77,overcast clouds
Cairns,AU,-16.9167,145.7667,73.35,93,75,3.44,broken clouds
Vanimo,PG,-2.6741,141.3028,76.69,90,93,3.98,overcast clouds
Manokwari,ID,-0.8667,134.0833,78.8,78,100,1.43,light rain
Mount Isa,AU,-20.7333,139.5,78.57,57,90,6.91,light rain
Khatanga,RU,71.9667,102.5,27.7,69,100,6.87,overcast clouds
Muroto,JP,33.2833,134.15,75.51,81,74,16.28,broken clouds
Prince Rupert,CA,54.3161,-130.3201,49.69,79,75,2.3,light rain
Morondava,MG,-20.2833,44.2833,75.31,83,5,11.56,clear sky
Turukhansk,RU,65.8167,87.9833,33.21,81,100,5.32,overcast clouds
Soe,ID,-9.8607,124.284,63.27,87,15,3.89,few clouds
Sisimiut,GL,66.9395,-53.6735,34.36,42,0,7.27,clear sky
Alto Araguaia,BR,-17.3147,-53.2153,93.04,24,98,7.2,overcast clouds
Sakaraha,MG,-22.9,44.5333,67.95,80,25,5.44,scattered clouds
Qui Nhon,VN,13.7667,109.2333,77.74,90,100,6.31,overcast clouds
Birao,CF,10.2849,22.7882,74.21,79,100,5.46,overcast clouds
Itoman,JP,26.1247,127.6694,82.42,88,20,8.05,few clouds
Vila Do Maio,CV,15.1333,-23.2167,84.99,79,0,10.83,clear sky
Tomatlan,MX,19.9333,-105.25,81.23,79,100,1.52,overcast clouds
Bad Mergentheim,DE,49.4925,9.7736,55.98,76,100,2.62,overcast clouds
Bull Savanna,JM,17.8868,-77.5902,84.13,62,1,9.51,clear sky
Shima,CN,24.4478,117.8111,81.21,91,0,2.53,light rain
Tiksi,RU,71.6872,128.8694,31.03,98,99,2.35,overcast clouds
San Ramon,US,37.7799,-121.978,74.44,40,1,1.99,clear sky
Pacifica,US,37.6138,-122.4869,74.79,59,20,6.91,few clouds
Hofn,IS,64.2539,-15.2082,40.32,52,99,11.41,overcast clouds
Parsons,US,37.3403,-95.2611,89.98,29,100,12.15,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,56.19,87,49,12.08,scattered clouds
Ilulissat,GL,69.2167,-51.1,30.22,34,1,14.97,clear sky
Waipawa,NZ,-41.4122,175.5153,45.93,75,0,4.14,clear sky
Sanary-Sur-Mer,FR,43.1178,5.8001,72.88,74,100,3.0,overcast clouds
Udobnaya,RU,44.1932,41.5529,49.64,91,100,3.0,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,43.83,93,50,6.06,scattered clouds
Dikson,RU,73.5069,80.5464,36.07,99,100,16.2,light rain
Koumac,NC,-20.5667,164.2833,67.98,84,8,4.83,clear sky
Wanxian,CN,30.8039,108.3897,73.56,92,100,1.34,light rain
Imeni Poliny Osipenko,RU,52.4201,136.4853,51.53,81,100,10.51,overcast clouds
Armidale,AU,-30.5167,151.65,46.81,94,100,3.87,moderate rain
Klaksvik,FO,62.2266,-6.589,49.12,80,91,15.03,overcast clouds
Kupang,ID,-10.1667,123.5833,75.69,85,56,6.04,broken clouds
Lebu,CL,-37.6167,-73.65,55.27,62,100,10.16,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,59.29,82,75,5.75,broken clouds
Grindavik,IS,63.8424,-22.4338,39.15,93,75,31.07,broken clouds
Elizabeth City,US,36.2946,-76.2511,87.85,52,1,3.0,clear sky
Ajdabiya,LY,30.7554,20.2263,74.25,74,0,8.46,clear sky
Severo-Kurilsk,RU,50.6789,156.125,49.96,78,94,6.78,overcast clouds
Luwuk,ID,-0.9516,122.7875,76.46,86,98,4.94,overcast clouds
Kahului,US,20.8947,-156.47,83.46,81,40,19.57,scattered clouds
Atambua,ID,-9.1061,124.8925,71.08,86,21,4.38,few clouds
Chumikan,RU,54.7183,135.315,50.29,84,100,11.36,light rain
Hualmay,PE,-11.0964,-77.6139,67.33,71,32,8.97,scattered clouds
Necochea,AR,-38.5473,-58.7368,59.09,44,0,7.36,clear sky
Umm Kaddadah,SD,13.6017,26.6876,92.71,18,6,14.47,clear sky
Chilca,PE,-12.5211,-76.7372,69.08,76,12,6.91,few clouds
Aklavik,CA,68.2191,-135.0107,31.03,94,100,17.18,snow
Ixtapa,MX,20.7,-105.2,88.23,73,24,1.99,few clouds
Coquimbo,CL,-29.9533,-71.3436,60.53,77,40,12.66,scattered clouds
Sur,OM,22.5667,59.5289,85.57,63,72,9.57,broken clouds
Boden,SE,65.8252,21.6886,50.0,96,11,4.99,few clouds
Toora-Khem,RU,52.4675,96.11,23.38,58,2,1.25,clear sky
Kirakira,SB,-10.4544,161.9205,78.4,84,99,8.72,overcast clouds
Narsaq,GL,60.9167,-46.05,41.22,39,0,4.45,clear sky
Avarua,CK,-21.2078,-159.775,77.05,78,75,8.05,broken clouds
Oranjemund,NA,-28.55,16.4333,56.19,84,100,14.5,overcast clouds
Okhansk,RU,57.7186,55.3877,32.07,85,100,4.92,overcast clouds
Itaituba,BR,-4.2761,-55.9836,89.76,62,40,4.79,scattered clouds
Yabrud,SY,33.9674,36.6574,60.46,63,0,0.92,clear sky
Esperance,AU,-33.8667,121.9,49.84,87,100,7.96,overcast clouds
Carroll,US,39.5501,-77.0164,79.12,68,40,3.0,scattered clouds
Asosa,ET,10.0667,34.5333,61.27,93,39,4.72,scattered clouds
Viedma,AR,-40.8135,-62.9967,69.91,13,5,7.87,clear sky
Nardaran,AZ,40.5561,50.0056,62.24,100,90,11.5,overcast clouds
Hengyang,CN,26.8881,112.615,76.55,87,56,9.24,light rain
Port Hedland,AU,-20.3167,118.5667,64.45,59,3,9.22,clear sky
Derzhavinsk,KZ,51.1,66.3167,44.26,76,100,6.62,overcast clouds
Vila,PT,42.0304,-8.1588,52.93,77,11,2.91,few clouds
Belyy Yar,RU,53.6039,91.3903,26.49,86,0,4.47,clear sky
Victor Harbor,AU,-35.5667,138.6167,58.71,87,88,8.59,overcast clouds
Nemuro,JP,43.3236,145.575,57.7,85,60,10.51,broken clouds
Bairiki,KI,1.3292,172.9752,82.4,69,40,16.11,scattered clouds
Salalah,OM,17.0151,54.0924,82.49,89,75,5.75,broken clouds
Moree,AU,-29.4667,149.85,57.22,82,90,11.5,light rain
Gucheng,CN,35.9115,111.3192,61.52,91,15,2.51,light rain
Beyneu,KZ,45.3167,55.2,55.29,62,4,12.06,clear sky
Calvinia,ZA,-31.4707,19.776,56.25,49,100,5.01,overcast clouds
Terrace,CA,54.5163,-128.6035,54.43,81,75,13.8,light intensity shower rain
Kadoma,JP,34.7333,135.5833,75.18,66,17,3.74,few clouds
Montepuez,MZ,-13.1256,38.9997,72.82,57,12,8.95,few clouds
Shache,CN,38.4167,77.2406,69.46,15,0,3.91,clear sky
Katangli,RU,51.7102,143.2326,51.12,95,21,6.58,few clouds
Manavalakurichi,IN,8.1333,77.3,78.89,88,65,14.25,broken clouds
Half Moon Bay,US,37.4636,-122.4286,74.82,46,1,1.99,clear sky
Norman Wells,CA,65.282,-126.8329,32.04,93,90,11.5,snow
Beringovskiy,RU,63.05,179.3167,30.6,57,20,7.52,few clouds
Hasaki,JP,35.7333,140.8333,63.28,80,10,7.38,clear sky
Baykit,RU,61.67,96.37,36.84,82,100,2.66,overcast clouds
Caravelas,BR,-17.7125,-39.2481,77.99,66,9,8.3,clear sky
Sitka,US,57.0531,-135.33,51.69,62,75,9.22,broken clouds
Mabaruma,GY,8.2,-59.7833,80.46,83,100,5.5,overcast clouds
Alexandria,EG,31.2156,29.9553,76.96,65,0,9.22,clear sky
Sharan,RU,54.8167,54.0,38.46,67,100,8.63,overcast clouds
Fortuna,US,40.5982,-124.1573,64.92,61,20,3.0,few clouds
Lere,NG,10.387,8.5726,74.84,64,85,1.68,overcast clouds
Goundam,ML,16.4145,-3.6708,98.91,10,0,9.31,clear sky
Antalaha,MG,-14.9003,50.2788,70.74,87,41,7.74,light rain
Saint-Pierre,RE,-21.3393,55.4781,71.24,79,0,4.61,clear sky
Mwinilunga,ZM,-11.7358,24.4293,68.61,54,29,3.53,scattered clouds
Robertsport,LR,6.7533,-11.3686,79.16,81,95,8.57,overcast clouds
Sergiyev Posad,RU,56.3,38.1333,38.95,84,47,4.52,scattered clouds
High Level,CA,58.5169,-117.136,48.31,93,90,9.22,mist
Waddan,LY,29.1614,16.139,81.99,22,0,5.68,clear sky
Nynashamn,SE,58.9034,17.9479,55.62,82,100,13.69,overcast clouds
Ubinskoye,RU,55.3068,79.6802,35.51,79,100,9.82,overcast clouds
Jieshi,CN,22.8134,115.8257,79.34,79,0,4.18,clear sky
Usakos,NA,-22.0,15.6,61.27,57,0,8.93,clear sky
Soller,ES,39.7662,2.7152,76.62,72,88,1.21,overcast clouds
Capao Da Canoa,BR,-29.7456,-50.0097,69.03,91,100,9.8,moderate rain
Kushmurun,KZ,52.4503,64.6311,37.6,96,100,21.74,light rain
Phangnga,TH,8.4509,98.5298,77.04,94,95,2.62,overcast clouds
Broome,US,42.2506,-75.833,66.38,63,90,1.01,overcast clouds
Elk Point,US,42.6833,-96.6836,90.9,21,90,15.32,overcast clouds
Correderos,HN,15.4167,-88.45,84.45,67,91,3.91,overcast clouds
Kuytun,RU,54.3419,101.5036,29.71,95,100,6.87,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,88,20,16.11,volcanic ash
