City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Vila Franca Do Campo,PT,37.7167,-25.4333,77.2,84,29,6.35,scattered clouds
Shawville,CA,45.6001,-76.4827,61.09,48,51,8.23,broken clouds
Itarema,BR,-2.9248,-39.9167,83.66,66,7,18.68,clear sky
Fort Nelson,CA,58.8053,-122.7002,38.79,93,90,2.3,mist
Coihaique,CL,-45.5752,-72.0662,54.21,50,75,9.22,broken clouds
Vao,NC,-22.6667,167.4833,68.4,74,34,16.98,scattered clouds
Gambela,ET,8.25,34.5833,72.03,94,100,3.0,overcast clouds
Ko Samui,TH,9.5357,99.9357,82.22,75,100,5.14,overcast clouds
Sao Borja,BR,-28.6606,-56.0044,66.94,93,100,11.07,overcast clouds
Bonfim,BR,3.0833,-59.95,91.92,43,50,7.63,scattered clouds
Ituango,CO,7.1712,-75.764,68.38,92,100,1.25,light rain
Ust-Omchug,RU,61.15,149.6333,22.98,87,100,6.53,overcast clouds
Mineral Wells,US,32.8085,-98.1128,95.92,40,1,10.36,thunderstorm
Zabid,YE,14.1951,43.3152,89.26,63,93,5.91,overcast clouds
Itigi,TZ,-5.7,34.4833,76.5,35,59,11.12,broken clouds
Slave Lake,CA,55.2834,-114.769,53.58,82,90,5.75,overcast clouds
Mutoko,ZW,-17.397,32.2268,69.28,42,60,0.65,broken clouds
Dhidhdhoo,MV,6.8833,73.1,82.4,80,64,17.6,broken clouds
Hefei,CN,31.8639,117.2808,71.62,94,90,8.95,mist
Dire Dawa,ET,9.5931,41.8661,76.1,36,8,5.77,clear sky
Shahganj,IN,26.05,82.6833,82.31,80,15,6.31,few clouds
Vinces,EC,-1.55,-79.7333,87.69,36,79,5.86,broken clouds
Upata,VE,8.0086,-62.3989,87.42,51,54,3.98,broken clouds
Kandrian,PG,-6.2167,149.55,76.23,87,100,1.32,overcast clouds
Tura,IN,25.5198,90.2201,72.73,95,100,4.38,light rain
Naze,JP,28.3667,129.4833,78.35,78,5,18.32,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,72.75,94,75,11.59,broken clouds
Usinsk,RU,65.9939,57.5281,40.91,84,100,6.71,overcast clouds
Tulum,MX,20.2167,-87.4667,84.25,82,22,6.46,few clouds
Ribeira Grande,PT,38.5167,-28.7,73.8,88,40,14.97,scattered clouds
Lufilufi,WS,-13.8745,-171.5986,85.78,78,78,18.43,light rain
Barabinsk,RU,55.3571,78.357,35.33,79,100,8.95,overcast clouds
Borba,BR,-4.3878,-59.5939,87.87,53,100,1.39,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,53.89,84,100,5.44,overcast clouds
Bajil,YE,15.0584,43.2851,87.17,66,7,4.72,clear sky
Bourail,NC,-21.5667,165.4833,65.07,86,15,4.0,few clouds
Leh,IN,34.1667,77.5833,56.79,38,0,4.83,clear sky
Presidente Epitacio,BR,-21.7633,-52.1156,99.79,18,83,4.54,broken clouds
Mujiayingzi,CN,42.1167,118.7833,56.14,88,6,6.64,clear sky
Merauke,ID,-8.4667,140.3333,75.43,88,96,10.89,overcast clouds
Burnie,AU,-41.0667,145.9167,47.35,86,84,7.27,broken clouds
Conakry,GN,9.538,-13.6773,80.67,83,75,9.22,broken clouds
Okhotsk,RU,59.3833,143.3,41.86,91,100,7.72,overcast clouds
Barabai,ID,-2.5833,115.3833,74.07,95,100,1.48,overcast clouds
Mitsamiouli,KM,-11.3847,43.2844,77.92,79,5,6.26,clear sky
Lipin Bor,RU,60.2622,37.9763,43.05,87,100,3.04,overcast clouds
Gizo,SB,-8.103,156.8419,80.51,80,100,7.78,overcast clouds
Erzurum,TR,40.0,41.5,49.68,62,0,6.67,clear sky
Maningrida,AU,-12.0667,134.2667,76.1,86,75,7.31,broken clouds
Tefe,BR,-3.3542,-64.7114,93.31,59,40,2.59,scattered clouds
San Andres,CO,12.5847,-81.7006,87.82,74,75,11.5,broken clouds
Visnes,NO,59.3556,5.2242,58.21,77,20,14.97,few clouds
Aksarka,RU,66.5606,67.7975,35.49,94,99,4.94,overcast clouds
Mareeba,AU,-17.0,145.4333,68.72,95,100,4.9,overcast clouds
Borodino,RU,55.9106,94.8983,33.76,96,99,1.54,overcast clouds
Geraldton,AU,-28.7667,114.6,57.61,94,90,5.75,overcast clouds
Deputatskiy,RU,69.3,139.9,16.36,87,55,2.75,broken clouds
Zhigansk,RU,66.7697,123.3711,31.19,82,20,19.98,few clouds
Bilma,NE,18.6853,12.9164,90.23,25,9,9.86,clear sky
Gat,IL,31.61,34.7642,75.88,71,0,3.62,clear sky
Kismayo,SO,-0.3582,42.5454,77.22,89,55,12.64,broken clouds
Kyabe,TD,9.4515,18.9449,74.25,91,100,2.19,light rain
Hobyo,SO,5.3505,48.5268,79.27,80,35,26.87,scattered clouds
Poronaysk,RU,49.2167,143.1167,56.57,92,54,4.63,broken clouds
Buta,CD,2.7858,24.73,70.21,95,100,1.9,light rain
Florianopolis,BR,-27.6146,-48.5012,78.26,78,0,5.01,clear sky
Mudgee,AU,-32.5943,149.5871,56.79,100,90,0.0,overcast clouds
Cururupu,BR,-1.8283,-44.8683,82.69,71,45,5.35,scattered clouds
Bowen,AU,-20.0167,148.2333,62.82,77,37,17.69,scattered clouds
Kosh-Agach,RU,50.0,88.6667,29.26,84,100,1.07,overcast clouds
Richards Bay,ZA,-28.783,32.0377,67.82,84,85,6.82,overcast clouds
Joshimath,IN,30.5667,79.5667,65.41,84,10,2.73,clear sky
Quibdo,CO,5.6947,-76.6611,76.05,94,100,4.05,overcast clouds
Valparaiso,CL,-33.0393,-71.6273,75.43,51,0,4.61,clear sky
Jieznas,LT,54.6,24.1667,48.65,83,6,7.31,clear sky
Coxim,BR,-18.5067,-54.76,98.08,24,100,8.12,overcast clouds
Kutum,SD,14.2,24.6667,83.48,25,0,14.41,clear sky
Berlevag,NO,70.8578,29.0864,55.4,54,0,18.41,clear sky
Lakselv,NO,70.0513,24.9718,53.42,54,0,9.22,clear sky
North Adams,US,42.7009,-73.1087,67.24,69,100,1.01,overcast clouds
Hirna,ET,9.2167,41.1,65.19,46,19,4.34,few clouds
Elesbao Veloso,BR,-6.2019,-42.1403,102.97,14,17,6.24,few clouds
Eureka,US,40.8021,-124.1637,65.19,75,0,7.0,clear sky
Sidhi,IN,24.4167,81.8833,77.04,86,45,4.0,scattered clouds
Nyrob,RU,60.733,56.7202,32.94,88,90,2.82,overcast clouds
San Cristobal,VE,7.7669,-72.225,84.38,45,100,7.43,overcast clouds
Arman,RU,59.7,150.1667,31.01,88,100,15.05,light snow
Raga,SS,8.4596,25.678,72.75,91,100,2.44,light rain
Uruzgan,AF,32.8333,66.0,67.82,17,0,1.99,clear sky
Imphal,IN,24.8167,93.95,67.5,97,85,1.88,overcast clouds
Korhogo,CI,9.45,-5.6333,78.69,64,51,2.19,broken clouds
Iquique,CL,-20.2208,-70.1431,66.24,67,17,4.7,few clouds
Olafsvik,IS,64.8945,-23.7142,36.32,86,100,49.46,overcast clouds
Hami,CN,42.8,93.45,64.24,23,5,4.54,clear sky
Alpena,US,45.0617,-83.4327,63.91,52,1,5.01,clear sky
Namatanai,PG,-3.6667,152.4333,79.11,80,98,5.28,overcast clouds
Hanzhong,CN,33.0728,107.0303,63.61,93,1,0.36,clear sky
Tezu,IN,27.9167,96.1667,75.06,83,84,3.42,broken clouds
Antofagasta,CL,-23.65,-70.4,63.77,67,12,7.52,few clouds
Longonjo,AO,-12.9067,15.2533,72.27,46,100,1.86,overcast clouds
West Fargo,US,46.875,-96.9004,89.02,36,1,5.01,clear sky
Tilichiki,RU,60.4667,166.1,28.69,81,100,6.76,overcast clouds
Pochutla,MX,15.7432,-96.4661,84.81,55,26,7.81,scattered clouds
Kudahuvadhoo,MV,2.6708,72.8944,82.8,74,90,12.88,overcast clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,78,6,16.2,clear sky
Emerald,AU,-23.5333,148.1667,68.14,77,90,14.97,overcast clouds
Uray,RU,60.1247,64.7758,38.75,77,79,5.77,broken clouds
Pangnirtung,CA,66.1451,-65.7125,32.0,80,75,3.44,broken clouds
Latung,PH,5.5,120.8833,83.35,72,93,4.74,overcast clouds
Huejucar,MX,22.35,-103.2167,74.19,54,13,8.59,few clouds
Mahanoro,MG,-19.9,48.8,68.41,88,1,6.31,clear sky
Bathsheba,BB,13.2167,-59.5167,90.21,58,20,9.22,few clouds
Copiapo,CL,-27.3667,-70.3333,58.69,21,12,9.62,few clouds
Acapulco,MX,16.8634,-99.8901,84.9,66,70,4.03,broken clouds
Khandyga,RU,62.6667,135.6,31.87,60,0,6.58,clear sky
Kingaroy,AU,-26.5333,151.8333,51.84,93,100,0.0,moderate rain
Rockhampton,AU,-23.3833,150.5,67.89,68,40,5.75,scattered clouds
Osmanabad,IN,18.1667,76.05,69.04,90,100,11.14,overcast clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,81,75,2.24,broken clouds
Ilyich,KZ,40.8464,68.5067,62.53,34,93,4.0,overcast clouds
Baghdad,IQ,33.3406,44.4009,76.91,27,0,6.91,clear sky
Sept-Iles,CA,50.2001,-66.3821,59.52,68,75,7.0,broken clouds
Saint Anthony,US,45.0205,-93.218,81.91,49,1,1.99,clear sky
Krasnyy Chikoy,RU,50.3643,108.7512,30.97,72,96,3.51,overcast clouds
Codrington,AU,-38.2667,141.9667,51.51,61,100,7.4,light rain
Tungor,RU,53.3808,142.9564,49.51,96,65,5.26,broken clouds
Bambanglipuro,ID,-7.95,110.2833,55.6,88,36,3.76,scattered clouds
Davila,PH,18.4726,120.5763,80.51,79,79,5.77,broken clouds
Aksu,CN,41.1231,80.2644,68.11,18,28,5.48,scattered clouds
Galdar,ES,28.147,-15.6502,75.34,78,32,18.32,scattered clouds
Oriximina,BR,-1.7656,-55.8661,89.87,49,71,4.36,broken clouds
Dharchula,IN,29.85,80.5333,67.42,84,5,4.45,clear sky
Marfino,RU,55.7028,37.3822,43.09,87,0,2.24,clear sky
Lasa,IT,46.6166,10.7002,62.02,92,100,3.83,overcast clouds
Rockport,US,28.0206,-97.0544,95.25,72,20,3.0,few clouds
Durant,US,33.994,-96.3708,93.72,40,40,12.66,scattered clouds
Hongjiang,CN,27.11,109.9956,73.36,93,34,2.1,moderate rain
Dunedin,NZ,-45.8742,170.5036,47.8,73,54,5.7,broken clouds
Vila Velha,BR,-20.3297,-40.2925,80.96,68,20,16.11,few clouds
Rasshevatskaya,RU,45.5748,41.035,57.33,58,99,8.05,overcast clouds
Amapa,BR,1.0,-52.0,96.26,27,4,5.17,clear sky
Dabakala,CI,8.3667,-4.4333,76.71,78,10,2.62,clear sky
Pyinmana,MM,19.7333,96.2167,73.69,95,100,1.83,overcast clouds
Nassau,US,40.7507,-73.5829,73.17,74,90,1.99,overcast clouds
Bilibino,RU,68.0546,166.4372,11.55,96,100,3.6,overcast clouds
Sibinal,GT,15.1333,-92.05,66.27,80,68,4.09,broken clouds
Vogar,IS,63.9832,-22.3874,39.24,93,75,31.07,broken clouds
Verkhnevilyuysk,RU,63.4453,120.3167,27.41,94,8,6.11,clear sky
Buala,SB,-8.145,159.5921,80.51,83,88,8.7,light rain
Yamada,JP,39.4667,141.95,60.87,88,55,4.72,broken clouds
Whittlesea,ZA,-32.1759,26.8244,54.14,85,100,7.52,overcast clouds
Banyo,CM,6.75,11.8167,65.44,95,99,2.91,moderate rain
Taoudenni,ML,22.6783,-3.9836,99.12,8,0,11.3,clear sky
Zhezkazgan,KZ,47.8043,67.7144,52.72,59,83,8.93,broken clouds
Papara,BR,-3.9839,-38.7273,85.73,58,10,8.08,clear sky
General Roca,AR,-39.0333,-67.5833,70.2,19,96,20.4,overcast clouds
Oberstdorf,DE,47.4,10.2833,55.6,94,100,1.01,light rain
Oneida,US,43.2001,-75.4663,68.2,46,1,7.0,clear sky
Genc,TR,38.7507,40.5603,63.75,32,0,3.2,clear sky
Inta,RU,66.0317,60.1659,37.42,98,100,4.21,overcast clouds
Westport,US,41.1415,-73.3579,73.27,85,90,5.01,overcast clouds
Slavyanka,RU,42.8633,131.3847,62.64,91,100,1.7,overcast clouds
Moses Lake,US,47.1301,-119.2781,63.88,51,1,13.8,clear sky
Bud,US,39.447,-86.1758,84.9,64,0,2.28,clear sky
Kulachi,PK,31.9286,70.4592,92.43,35,0,7.63,clear sky
Mbandaka,CD,0.0487,18.2603,71.78,95,80,1.86,light rain
Salair,RU,54.2312,85.7972,31.41,90,15,3.38,few clouds
Bend,US,44.0582,-121.3153,54.68,58,75,1.01,broken clouds
Kalabo,ZM,-14.97,22.6814,76.48,24,18,2.06,few clouds
Saint George,US,37.1041,-113.5841,86.47,33,1,1.01,clear sky
Soyo,AO,-6.1349,12.3689,75.61,81,61,12.55,broken clouds
Bermejo,AR,-32.8833,-68.8,71.51,24,0,6.91,clear sky
Muncar,ID,-8.4333,114.3333,73.63,90,74,0.83,broken clouds
Benguela,AO,-12.5763,13.4055,71.67,83,3,7.49,clear sky
Mangrol,IN,21.1167,70.1167,77.81,94,100,12.01,moderate rain
Glace Bay,CA,46.1969,-59.957,65.57,89,90,1.99,overcast clouds
Xuddur,SO,4.1213,43.8894,77.31,63,91,16.8,overcast clouds
Siniscola,IT,40.5719,9.6922,72.95,74,35,4.29,scattered clouds
Sassandra,CI,4.95,-6.0833,75.52,90,82,6.02,broken clouds
Gedo,ET,9.0167,37.45,52.93,87,99,1.43,overcast clouds
Sechura,PE,-5.5569,-80.8222,73.29,65,29,15.23,scattered clouds
Kawalu,ID,-7.3817,108.2082,68.7,95,70,1.12,broken clouds
Auki,SB,-8.7676,160.7034,77.54,86,100,4.38,overcast clouds
Lata,PT,40.1629,-8.3327,62.08,83,1,4.41,clear sky
Alihe,CN,50.5667,123.7167,35.6,89,1,4.32,clear sky
Conroe,US,30.3119,-95.456,78.89,78,40,10.36,light rain
Surgut,RU,61.25,73.4167,37.58,81,0,6.71,clear sky
Maniitsoq,GL,65.4167,-52.9,34.14,46,0,7.31,clear sky
Abu Kamal,SY,34.4506,40.9171,81.19,27,0,7.16,clear sky
Sonoita,MX,31.85,-112.8333,86.52,29,0,16.89,clear sky
Hudiksvall,SE,61.729,17.1036,51.53,89,100,9.28,overcast clouds
Daru,PG,-9.0763,143.2092,77.47,86,100,12.33,overcast clouds
Novi Sanzhary,UA,49.3439,34.3108,49.69,76,65,8.79,broken clouds
Vinh,VN,18.6667,105.6667,76.5,91,2,2.62,clear sky
Port-Gentil,GA,-0.7193,8.7815,78.76,83,40,13.8,scattered clouds
Junin,AR,-34.5838,-60.9433,71.98,48,0,11.72,clear sky
Dolinsk,RU,47.35,142.8,58.86,97,50,7.61,scattered clouds
Port Macquarie,AU,-31.4333,152.9167,51.76,77,72,12.64,broken clouds
Utiel,ES,39.5667,-1.2,66.65,52,6,1.39,clear sky
Bayan,CN,46.0833,127.4,59.61,90,14,11.5,few clouds
Furukawa,JP,38.5717,140.9556,60.94,91,86,2.15,overcast clouds
Te Anau,NZ,-45.4167,167.7167,43.09,95,79,3.27,light rain
Sedro-Woolley,US,48.5039,-122.2361,60.98,86,90,5.75,overcast clouds
Alenquer,BR,-1.9417,-54.7383,91.74,42,60,3.33,broken clouds
General Pico,AR,-35.6566,-63.7568,67.03,30,24,11.77,few clouds
Road Town,VG,18.4167,-64.6167,89.64,66,40,9.22,scattered clouds
Jeremie,HT,18.65,-74.1167,83.97,72,28,2.1,scattered clouds
Tokonou,GN,9.65,-9.7833,73.9,84,86,2.28,light rain
Srednekolymsk,RU,67.45,153.6833,21.16,89,100,6.38,overcast clouds
Ulaangom,MN,49.9811,92.0667,31.71,59,11,1.28,few clouds
Aguimes,ES,27.9054,-15.4461,73.65,70,20,28.77,few clouds
Griffith,US,41.5284,-87.4237,81.0,54,1,3.0,clear sky
Leshukonskoye,RU,64.8989,45.7622,40.69,94,79,1.45,broken clouds
Tripoli,LY,32.8752,13.1875,77.54,70,0,5.99,clear sky
Sao Felix Do Xingu,BR,-6.6447,-51.995,80.15,71,73,0.92,broken clouds
Sangar,RU,63.9242,127.4739,32.16,67,0,1.01,clear sky
Belmonte,BR,-15.8631,-38.8828,77.5,67,14,8.1,few clouds
Barranca De Upia,CO,4.5696,-72.9668,85.1,63,100,3.06,overcast clouds
Gwadar,PK,25.1216,62.3254,85.03,67,79,3.47,broken clouds
Quatre Cocos,MU,-20.2078,57.7625,72.09,78,90,15.95,overcast clouds
Covington,US,39.0837,-84.5086,86.11,59,1,5.75,clear sky
Helong,CN,42.5397,128.9972,57.29,97,100,2.42,overcast clouds
Nuuk,GL,64.1835,-51.7216,38.01,60,1,13.8,clear sky
Grenaa,DK,56.4158,10.8783,55.85,93,96,8.34,overcast clouds
Providencia,MX,28.7167,-111.5833,90.21,57,0,8.99,clear sky
Lavrentiya,RU,65.5833,-171.0,30.69,79,100,3.78,overcast clouds
Casas Grandes,MX,30.3667,-107.95,75.43,38,6,16.6,clear sky
Miyako,JP,39.6367,141.9525,59.58,88,32,5.41,scattered clouds
Saint-Louis,SN,16.3333,-15.0,100.04,19,15,6.04,few clouds
Enshi,CN,30.3,109.4833,68.32,95,36,1.57,scattered clouds
Teguise,ES,29.0605,-13.564,71.82,64,20,23.02,few clouds
Sorland,NO,67.667,12.6934,53.67,81,100,2.93,overcast clouds
Yerofey Pavlovich,RU,53.9667,121.9667,36.99,77,100,4.32,overcast clouds
Riviere-Au-Renard,CA,48.9957,-64.3971,57.2,80,100,9.98,overcast clouds
Ketchikan,US,55.3422,-131.6461,52.27,71,90,11.5,overcast clouds
Yarkovo,RU,57.4028,67.0786,39.94,82,100,8.84,light rain
Koungou,YT,-12.7336,45.2042,76.71,73,0,3.44,clear sky
Morant Bay,JM,17.8815,-76.4093,89.22,72,21,7.05,few clouds
Yulara,AU,-25.2406,130.9889,55.24,41,0,6.91,clear sky
Puerto Narino,CO,-3.7703,-70.3831,84.15,57,100,1.34,light rain
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.0,74,40,4.61,thunderstorm
Barstow,US,34.8986,-117.0228,81.59,25,14,25.64,few clouds
Rocky Mountain House,CA,52.3668,-114.9188,60.55,38,88,6.91,overcast clouds
Teeli,RU,51.0333,90.2333,32.2,51,78,0.94,broken clouds
Vardo,NO,70.3705,31.1107,52.0,71,0,18.41,clear sky
Southbridge,US,42.0751,-72.0334,66.56,99,100,5.64,light rain
Nome,US,64.5011,-165.4064,33.87,61,90,3.44,overcast clouds
Saravan,AM,39.7196,45.6483,56.05,69,1,6.44,clear sky
Pokrovsk,UA,48.282,37.1758,48.87,77,83,9.46,broken clouds
Cordoba,AR,-31.4135,-64.1811,72.59,72,90,4.61,overcast clouds
Asau,RO,46.4333,26.4,52.75,93,100,1.81,overcast clouds
Ouadda,CF,8.0777,22.4007,68.85,97,100,4.0,overcast clouds
Erzin,TR,36.9559,36.2,74.12,84,29,1.92,scattered clouds
Matara,LK,5.9485,80.5353,78.58,84,99,12.55,overcast clouds
Forbes,AU,-33.3833,148.0167,55.17,94,100,11.27,overcast clouds
Russell,US,32.3502,-85.1999,87.08,47,40,4.61,scattered clouds
Hokitika,NZ,-42.7167,170.9667,47.35,83,100,2.89,overcast clouds
Banna,PH,17.98,120.655,75.92,85,53,3.18,broken clouds
Voh,NC,-20.9667,164.7,70.5,76,62,4.12,broken clouds
Svetlaya,RU,46.5389,138.3297,57.52,93,10,6.02,clear sky
Huambo,AO,-12.7761,15.7392,68.7,51,90,7.14,overcast clouds
Maykor,RU,59.0059,55.88,33.46,90,61,4.94,broken clouds
Preobrazheniye,RU,42.9019,133.9064,62.22,94,100,7.25,overcast clouds
Kansk,RU,56.2017,95.7175,34.21,91,100,1.61,overcast clouds
Mayo,US,38.8876,-76.5119,82.13,57,1,3.0,clear sky
Oparino,RU,59.8518,48.2783,36.19,85,100,4.14,overcast clouds
Faya,SA,18.3851,42.4509,69.91,53,72,3.71,broken clouds
Old Town,CZ,50.087,14.4202,62.85,84,75,1.99,broken clouds
Gariaband,IN,20.635,82.0614,73.22,97,94,4.21,overcast clouds
Northam,GB,51.0333,-4.2167,55.65,88,61,14.18,broken clouds
Bhuj,IN,23.2667,69.6667,86.18,68,98,8.57,moderate rain
Fort Madison,US,40.6298,-91.3151,86.72,48,1,8.05,clear sky
Midleton,IE,51.9153,-8.1805,47.98,89,10,10.07,clear sky
Portland,US,45.5234,-122.6762,60.64,90,75,1.99,broken clouds
Kushiro,JP,42.975,144.3747,55.85,83,82,1.3,broken clouds
Caraz,PE,-9.0486,-77.81,73.72,44,29,5.91,light rain
Tahta,EG,26.7693,31.5021,82.72,30,0,8.99,clear sky
Finote Selam,ET,10.7,37.2667,56.14,92,84,3.94,broken clouds
Martinez,US,38.0194,-122.1341,77.9,40,1,1.01,clear sky
Alice Springs,AU,-23.7,133.8833,58.55,29,2,8.05,clear sky
Namibe,AO,-15.1961,12.1522,64.27,85,93,4.61,overcast clouds
Tashtagol,RU,52.7657,87.8894,32.92,82,91,3.65,overcast clouds
Yankton,US,42.8711,-97.3973,89.85,33,1,14.97,clear sky
Flinders,AU,-34.5833,150.8552,61.38,83,100,1.01,light rain
Bonoua,CI,5.2741,-3.595,78.42,88,19,5.08,few clouds
Dorokhovo,RU,55.5506,36.3744,38.93,91,39,1.86,scattered clouds
Chegdomyn,RU,51.1167,133.0167,58.28,73,100,10.76,overcast clouds
Sarangani,PH,5.4033,125.4636,83.84,74,100,8.34,overcast clouds
Nobres,BR,-14.7203,-56.3275,93.74,34,69,1.52,broken clouds
Hailakandi,IN,24.6833,92.5667,75.16,98,97,1.72,light rain
Cabra,ES,37.4725,-4.4421,76.39,42,0,1.88,clear sky
Afua,BR,-0.1567,-50.3867,87.4,54,17,8.77,few clouds
Worland,US,44.0169,-107.9554,84.67,10,99,14.38,overcast clouds
Oktyabrskoye,RU,43.0645,44.7417,50.14,82,100,4.47,overcast clouds
Gigmoto,PH,13.7796,124.39,79.54,87,30,4.85,scattered clouds
Qarchi Gak,AF,37.04,66.7889,66.29,31,0,9.4,clear sky
Mana,GF,5.6592,-53.7767,84.15,67,39,9.64,scattered clouds
Poum,NC,-20.2333,164.0167,71.58,77,34,11.32,scattered clouds
Boa Vista,BR,2.8197,-60.6733,94.98,41,40,8.05,scattered clouds
Siparia,TT,10.1333,-61.5,91.81,71,7,4.0,clear sky
Hovd,MN,48.0056,91.6419,33.85,49,11,1.88,few clouds
Nhulunbuy,AU,-12.2333,136.7667,79.41,78,75,12.66,broken clouds
Jinchang,CN,38.4953,102.1739,62.83,24,0,6.38,clear sky
Hambantota,LK,6.1241,81.1185,80.94,83,40,11.5,scattered clouds
Asfi,MA,32.2994,-9.2372,69.98,82,9,20.49,clear sky
Igrim,RU,63.1906,64.4162,33.31,86,100,1.05,overcast clouds
Kurumkan,RU,54.3,110.3,34.57,76,100,2.28,overcast clouds
Pacific Grove,US,36.6177,-121.9166,74.61,67,1,3.0,clear sky
Emmett,US,43.8735,-116.4993,60.17,54,19,11.41,few clouds
Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.17,80,97,4.25,overcast clouds
Bossangoa,CF,6.4926,17.4552,72.0,97,100,3.69,overcast clouds
Adrar,MR,20.5022,-10.0711,96.37,7,0,7.11,clear sky
Abalak,RU,58.1286,68.5944,34.68,91,60,6.62,broken clouds
Rumonge,BI,-3.9736,29.4386,78.21,61,31,1.81,scattered clouds
Sibolga,ID,1.7427,98.7792,76.33,92,90,4.18,overcast clouds
Rumoi,JP,43.9344,141.6428,54.57,89,58,8.08,broken clouds
Gander,CA,48.9682,-54.5906,60.93,77,90,15.01,fog
Octeville,FR,49.6261,-1.6435,58.93,88,75,12.66,heavy intensity rain
Wellington,NZ,-41.2866,174.7756,48.56,84,34,3.0,scattered clouds
Atar,MR,20.5169,-13.0499,102.99,8,87,11.52,overcast clouds
Malkangiri,IN,18.35,81.9,73.87,96,98,1.1,overcast clouds
Kulhudhuffushi,MV,6.6221,73.07,81.99,80,47,16.31,scattered clouds
Byron Bay,AU,-28.65,153.6167,66.15,66,100,8.43,overcast clouds
Lalibela,ET,12.0333,39.0333,59.31,50,29,7.78,scattered clouds
Coari,BR,-4.085,-63.1414,83.28,68,87,2.06,overcast clouds
Ambilobe,MG,-13.2,49.05,73.71,68,7,9.82,clear sky
Srostki,RU,52.4189,85.7022,37.99,82,100,6.76,overcast clouds
Sesimbra,PT,38.4445,-9.1015,65.16,69,0,17.13,clear sky
Verkhnyaya Inta,RU,65.9811,60.3094,36.82,99,100,5.08,overcast clouds
Gushikawa,JP,26.3544,127.8686,81.63,92,1,9.22,clear sky
Shingu,JP,33.7333,135.9833,72.19,86,88,9.51,overcast clouds
Halifax,CA,44.6453,-63.5724,65.08,94,90,4.61,overcast clouds
Rusape,ZW,-18.5278,32.1284,64.27,45,22,4.21,few clouds
Saint-Joseph,RE,-21.3667,55.6167,70.16,75,25,12.71,scattered clouds
Thinadhoo,MV,0.5333,72.9333,82.72,73,99,9.57,overcast clouds
At-Bashi,KG,41.1702,75.8106,50.77,31,91,2.48,overcast clouds
Novogagatli,RU,43.4568,46.4818,58.84,67,100,2.75,overcast clouds
Hanyang,CN,32.1371,105.5126,63.37,94,0,2.17,light rain
Darapidap,PH,17.2131,120.4114,77.52,87,68,4.14,broken clouds
Torbat-E Jam,IR,35.244,60.6225,67.1,36,0,5.19,clear sky
Coahuayana,MX,18.7333,-103.6833,88.32,58,61,4.99,broken clouds
Harper,LR,4.375,-7.7169,77.88,82,100,6.67,overcast clouds
Hamilton,US,39.1834,-84.5333,85.64,58,1,1.99,clear sky
Bereznik,RU,62.8551,42.7072,42.87,95,94,3.49,overcast clouds
Krasnoborsk,RU,61.5598,45.934,40.51,94,83,3.69,broken clouds
Nyandoma,RU,61.669,40.1991,40.42,93,100,3.06,overcast clouds
